lat,lon,HFO_s,DRO_s,ECO_S_s
31.136,-3.446,3.1,3.9,4.9
-2.955,-54.091,1.6,1.2,2.8
16.591,-13.737,2.8,3.7,2.5
64.318,-148.605,3.1,1.6,0.8
54.773,-3.144,2.9,0.7,2.8
44.773,142.274,2.0,1.1,5.0
24.318,-102.324,2.3,3.5,5.0
-21.136,26.27,1.6,2.8,5.0
-84.318,-34.177,0,0,0
-73.409,18.238,0,0,0
59.773,-126.767,0,1.7,4.9
16.591,103.263,4.1,1.1,3.4
-25.682,17.874,2.0,2.7,4.8
31.136,56.465,3.1,2.3,5.0
14.318,-11.938,2.0,2.0,2.1
-12.955,142.277,1.6,0.4,5.0
11.591,15.058,3.6,1.6,4.6
-6.591,32.893,2.9,1.5,0.1
46.591,127.817,3.0,2.4,5.0
18.864,22.77,1.0,5.0,5.0
52.955,6.778,2.0,1.8,3.1
35.227,92.778,2.0,1.1,5.0
57.955,159.477,0,2.3,5.0
-18.409,32.749,3.3,1.1,1.4
-12.955,25.847,2.6,1.3,1.2
-46.136,-68.073,0,3.2,5.0
-29.318,146.185,3.1,2.3,5.0
-32.955,-54.054,3.3,1.2,3.8
-18.864,136.378,1.6,2.9,5.0
10.227,10.832,2.8,1.4,1.4
-70.227,-67.164,0,0,0
64.318,-103.605,0,2.6,1.2
50.682,29.702,2.6,1.8,3.8
66.136,-127.29,0,5.0,5.0
21.136,12.162,1.6,3.0,0
52.5,133.789,2.9,1.5,2.9
-20.682,-69.38,2.0,5.0,4.0
26.591,115.007,4.6,1.3,4.2
76.591,-62.609,,,
36.591,5.369,2.6,1.5,5.0
56.591,45.721,2.3,2.2,3.4
-7.045,-37.738,2.9,1.8,5.0
12.955,123.182,0,0,0
30.227,29.693,1.6,4.2,5.0
-10.682,-54.923,1.0,0.6,5.0
7.045,44.142,3.5,2.8,1.7
-11.591,21.081,2.5,1.0,4.7
3.409,-74.545,2.8,1.4,0.9
39.318,-119.609,2.8,2.8,2.2
-89.318,20.0,0,0,0
15.227,7.294,3.4,5.0,5.0
23.864,-110.083,2.6,1.9,1.0
37.955,-121.917,3.1,1.3,3.1
7.045,17.154,3.2,1.2,5.0
-72.955,122.833,0,0,0
-11.591,-42.394,3.0,1.2,4.9
57.045,12.5,0,0.5,4.7
67.955,-159.463,0,2.9,0
-42.955,173.184,1.6,0.9,5.0
-3.409,102.273,3.1,0.4,3.0
-72.955,91.931,0,0,0
-72.5,109.205,0,0,0
-25.682,145.259,3.1,2.3,5.0
28.409,18.567,0,3.1,5.0
56.591,104.211,2.0,3.4,5.0
36.591,-109.922,1.0,2.3,3.0
-28.864,-60.863,3.3,1.1,5.0
13.864,-8.416,2.5,2.9,3.1
-24.773,-58.0,3.5,1.2,3.0
54.318,62.592,2.5,1.5,3.4
32.955,52.973,3.1,2.3,5.0
62.955,66.316,1.6,2.8,2.7
48.864,57.241,1.0,1.8,5.0
-77.5,150.698,0,0,0
29.773,52.511,3.2,3.9,3.3
19.773,56.627,1.0,4.7,1.0
-81.136,-138.689,0,0,0
39.773,-109.77,0,2.3,2.7
62.045,111.29,2.0,3.6,2.0
-35.682,-62.05,3.0,1.4,5.0
2.955,10.0,0,0.8,2.4
73.409,118.15,0,1.2,1.5
-23.409,16.319,0,5.0,2.5
22.955,52.941,1.0,5.0,0
74.318,-55.514,,,
59.773,13.985,1.6,1.9,4.1
52.5,-93.54,1.0,1.5,5.0
20.682,102.372,3.4,0.8,3.5
27.045,-113.805,1.0,0.9,0
64.773,29.822,0,3.9,4.8
67.955,151.007,0,3.8,3.6
25.227,34.095,2.3,3.5,2.9
-75.682,-11.02,0,0,0
-78.864,90.588,0,0,0
-33.409,119.637,1.0,1.0,2.1
40.227,93.861,2.0,1.4,5.0
-14.773,32.621,2.9,1.6,5.0
21.591,-10.244,2.0,5.0,5.0
59.318,44.889,2.0,2.2,4.7
-76.591,-97.826,0,0,0
-20.682,-59.191,3.2,0.5,2.3
-32.5,20.717,1.6,2.3,5.0
-9.318,125.287,2.6,0,3.9
-38.864,-66.408,2.0,2.5,5.0
-9.773,35.448,3.2,1.3,0.4
58.409,-112.5,0,2.0,0.7
-17.955,141.377,3.3,2.6,5.0
-20.682,-48.518,3.7,0.9,5.0
22.955,42.107,2.8,2.2,2.6
50.682,-84.095,0,2.0,5.0
59.318,39.556,2.0,2.3,4.2
-37.955,142.045,1.0,0,3.4
-72.5,48.954,0,0,0
21.591,-14.634,1.6,4.9,3.1
-22.5,147.585,3.2,2.0,5.0
42.045,19.864,3.5,1.5,2.7
-8.864,-66.582,1.6,0.8,0.3
49.318,69.981,0,2.2,4.3
-4.773,-60.759,0,0.7,1.3
9.318,-71.954,3.6,1.4,2.3
-45.682,167.653,1.0,0.5,0.1
2.955,-60.909,0,1.1,0.3
67.5,116.053,0,2.2,2.3
-75.227,-76.634,0,0,0
-14.318,18.96,2.9,1.9,2.1
38.409,39.357,3.2,1.7,5.0
14.318,-91.053,3.4,0.7,3.7
22.955,19.453,0,2.8,5.0
29.318,84.798,2.6,1.3,2.9
70.682,96.183,0,2.2,3.6
-4.773,-68.496,1.6,0.7,0.2
52.045,-104.016,2.0,1.4,4.7
-30.682,122.463,1.0,1.8,4.4
36.136,-113.167,2.3,2.5,2.7
28.409,20.63,0,4.0,5.0
12.5,-13.703,1.6,1.4,1.5
45.227,64.723,2.3,3.0,3.3
-7.955,15.115,2.3,1.8,5.0
21.591,43.415,2.8,2.1,5.0
4.773,22.073,1.6,1.0,3.6
46.591,106.018,0,1.4,5.0
33.409,-0.544,2.6,3.1,1.8
18.409,-2.629,2.3,4.5,5.0
21.136,-15.568,1.6,4.9,3.1
-22.955,-56.389,2.8,1.1,2.8
67.5,22.5,1.0,2.6,1.6
-67.5,125.526,0,0,0
-29.318,-55.665,3.4,1.1,5.0
8.864,46.378,2.0,1.5,5.0
48.864,17.241,3.6,2.2,5.0
23.864,-1.983,1.6,5.0,5.0
-73.864,-99.818,0,0,0
68.864,103.217,0,2.8,4.3
10.227,6.223,3.3,1.4,2.6
23.409,-8.407,1.0,4.6,5.0
-23.864,-53.554,2.9,1.2,5.0
60.682,22.268,0,0.6,5.0
55.682,133.289,1.0,1.8,5.0
-3.864,32.273,2.9,1.6,0.6
35.682,-102.298,3.7,2.0,5.0
2.5,103.733,3.4,1.2,1.0
-77.5,131.86,0,0,0
45.227,127.835,3.0,2.4,5.0
44.773,-105.826,1.6,2.3,5.0
2.5,100.101,3.3,0.9,4.1
34.318,-89.863,3.8,0.9,5.0
-30.227,151.095,3.6,1.1,5.0
35.682,106.211,3.1,2.9,5.0
17.5,49.221,2.5,2.7,2.8
41.136,112.462,2.0,3.9,5.0
-12.5,-75.019,3.5,1.9,5.0
42.045,-85.263,3.6,1.4,5.0
46.136,-81.164,1.0,1.4,4.3
18.409,31.315,2.6,5.0,2.9
30.227,-103.796,2.6,3.3,3.7
-1.591,14.754,1.6,0.9,2.1
53.864,36.154,2.5,2.0,3.6
37.955,-94.888,4.1,1.2,5.0
68.864,-117.063,0,2.4,5.0
30.227,-90.657,3.9,1.2,5.0
-35.682,-60.932,3.0,1.4,5.0
33.864,-84.947,2.8,1.0,3.7
20.227,22.742,1.0,5.0,5.0
58.409,-134.135,1.0,1.1,2.2
15.227,31.765,3.5,5.0,5.0
57.045,27.5,2.3,2.0,2.6
-3.409,19.091,1.6,0.9,3.1
64.318,-118.256,0,1.9,5.0
58.409,-3.462,1.6,0,1.8
54.773,-95.895,0,2.0,5.0
-22.5,123.52,1.0,4.8,4.4
46.136,-104.073,1.6,3.0,5.0
9.773,1.841,3.8,1.4,2.2
24.318,105.809,4.4,1.4,5.0
67.955,15.705,0,0,0
18.864,29.481,2.3,5.0,5.0
-83.864,-61.412,0,0,0
-19.318,21.389,2.9,3.7,3.1
-4.318,144.046,2.6,1.4,4.8
62.045,137.419,2.5,3.1,3.9
73.864,106.364,0,2.0,5.0
38.409,-85.08,4.1,1.2,5.0
47.5,-65.149,0,1.0,5.0
-78.864,-107.059,0,0,0
16.136,14.173,2.5,5.0,5.0
64.318,-21.977,0,0.1,5.0
-14.773,20.417,3.0,2.0,1.9
59.773,-128.571,0,1.7,5.0
24.318,55.519,2.0,3.2,3.2
2.045,37.453,3.3,2.1,1.5
53.409,20.93,3.1,2.1,2.3
51.136,-98.313,3.0,2.1,2.5
-74.318,107.664,0,0,0
49.773,-98.438,2.9,1.4,4.0
51.136,-67.229,0,1.8,3.1
-4.773,12.061,0,1.9,4.7
26.136,26.292,0,3.6,5.0
-29.773,-57.213,3.1,1.3,5.0
56.136,-3.258,2.5,1.1,4.3
-2.955,17.727,1.6,0.9,1.9
-11.136,22.211,2.5,1.0,4.7
-34.318,118.443,1.0,1.0,3.4
28.864,22.532,0,4.0,5.0
11.136,-68.483,2.8,0,1.8
32.955,5.946,2.0,2.2,5.0
-73.409,46.784,0,0,0
-16.591,135.0,2.6,2.3,1.2
47.955,49.831,2.0,3.2,5.0
-2.045,-80.126,3.3,3.6,2.4
50.682,-104.135,1.0,1.6,5.0
51.591,123.043,2.0,1.8,5.0
44.773,15.027,2.3,1.0,4.7
-3.409,138.182,1.6,1.1,0.6
63.864,63.438,0,2.5,1.5
-18.864,139.254,3.2,3.2,5.0
-53.409,-68.118,0,2.5,5.0
17.955,75.099,3.5,1.6,3.6
63.864,24.241,0,2.9,5.0
-17.5,131.968,2.3,2.9,5.0
42.045,-88.319,4.2,1.4,5.0
-0.682,9.306,1.0,1.5,2.3
42.5,95.077,2.0,1.4,5.0
27.5,39.886,0,3.5,5.0
-72.5,116.736,0,0,0
45.227,-63.435,2.0,1.3,5.0
63.409,-150.592,2.5,1.8,1.4
66.136,-118.318,0,0,0
19.318,11.776,2.0,5.0,5.0
48.864,-111.034,2.0,2.9,3.5
27.045,37.935,2.0,4.7,5.0
20.682,-99.946,3.8,1.9,2.8
-12.5,-42.503,2.5,1.3,4.7
37.045,-79.336,3.7,1.2,5.0
52.5,-97.267,0,0,0
62.955,123.158,2.5,2.1,3.3
34.318,-92.611,4.0,1.0,4.7
66.136,122.804,2.3,2.6,3.2
30.227,71.212,3.5,2.9,3.5
-82.045,29.455,0,0,0
-12.045,30.155,2.0,1.6,0
-0.682,29.281,3.7,1.5,2.4
-15.227,-68.471,3.4,1.2,2.0
-28.409,19.599,1.6,2.1,4.9
-27.5,142.159,3.0,3.1,5.0
43.409,130.0,3.3,2.1,4.1
47.045,-0.333,1.0,1.5,5.0
36.136,41.279,2.5,2.5,5.0
31.136,-102.062,2.3,3.3,5.0
10.227,5.301,3.0,1.7,1.8
28.409,34.04,2.0,3.3,0
-36.136,146.303,2.5,1.1,1.5
20.682,6.307,1.6,5.0,5.0
-7.045,33.164,2.5,1.5,0.5
-34.773,-55.767,2.3,0.8,5.0
-20.227,127.742,0,5.0,0.3
61.591,129.39,2.8,2.6,3.2
62.5,-82.623,0,0.7,5.0
16.591,29.842,2.5,4.4,5.0
33.409,-113.112,2.6,1.6,2.7
71.136,132.188,0,1.6,0
18.409,27.968,2.3,5.0,5.0
45.682,-111.119,0,1.5,1.4
22.045,46.286,1.0,2.6,5.0
51.591,14.97,2.8,2.2,2.7
50.682,1.789,2.0,1.3,3.9
-32.955,24.865,2.5,1.7,2.9
30.682,-2.111,3.1,3.9,4.9
8.864,-8.724,2.0,0.9,1.7
55.227,-122.655,1.0,2.3,5.0
67.045,-149.709,2.3,2.2,0.8
66.136,118.318,1.6,3.0,2.1
19.773,-101.446,2.5,1.2,5.0
37.955,54.633,3.6,2.2,3.8
60.227,-116.041,1.0,2.1,1.7
42.5,-118.462,0,0,0
32.045,9.643,1.0,2.1,3.9
-14.318,-69.051,3.3,0.9,0.9
27.045,102.093,3.2,1.0,5.0
24.773,-4.0,1.6,5.0,5.0
63.409,100.901,1.0,1.9,5.0
7.045,18.983,2.8,1.1,0.7
69.773,-103.796,0,1.0,5.0
43.409,-86.25,3.6,1.4,5.0
29.773,40.493,0,3.4,0
-4.318,35.727,2.6,1.7,2.6
33.409,-90.816,3.8,0.9,5.0
67.045,-105.437,0,1.3,1.1
47.045,8.983,2.9,1.6,2.4
-19.773,137.59,2.5,3.7,5.0
3.409,-53.182,2.3,1.0,2.2
-2.955,35.909,2.3,1.8,2.3
